Material Category,Material Type,County,Single Family Tons,Regional Single Family Composition,Multi Family Tons,Statewide Multi Family Composition,Total Residential Tons,Total Residential Composition
Paper,Magazines and Catalogs,SIERRA,8,0.0103880630464524,1,0.007478042212656609,8,0.010113110537509698
Paper,Phone Books and Directories,SIERRA,2,0.00208390147519643,0,0.000306365386920027,2,0.0019159514723882747
Paper,Other Miscellaneous Paper - Compostable,SIERRA,2,0.00240977907214072,0,0.00295972626349685,2,0.002461740679526232
Paper,Other Miscellaneous Paper - Other,SIERRA,32,0.0430472871261769,4,0.0471909615637325,35,0.04343880105268083
Paper,Remainder / Composite Paper - Compostable,SIERRA,66,0.0907854965031047,5,0.0676951863054057,72,0.08860381496756689
Paper,Remainder / Composite Paper - Other,SIERRA,7,0.00937326877526624,1,0.0109194056132361,8,0.00951935508428212
Glass,Clear Glass Bottles and Containers,SIERRA,11,0.0147765480186356,1,0.0164193762236836,12,0.014931770184571291
Glass,Green Glass Bottles and Containers,SIERRA,8,0.0109054651959868,0,0.00148785037811019,8,0.01001564447980534
Glass,Brown Glass Bottles and Containers,SIERRA,5,0.0064632390060619,1,0.00682128720880721,5,0.0064970690908928855
Glass,Other Glass Colored Bottles and Containers,SIERRA,1,0.0010548143269512801,0,0.000619255891282891,1,0.0010136607093251232
Glass,Flat Glass,SIERRA,0,0.00036875622812117796,0,0.000579854656700671,0,0.0003887018044200541
Glass,Remainder / Composite Glass,SIERRA,4,0.00602587696805771,0,0.00398097723909204,5,0.005832665186036902
Metal,Tin/Steel Cans,SIERRA,9,0.0125434289069437,1,0.00929533537355549,10,0.012236533693028424
Metal,Major Appliances,SIERRA,0,0.0,0,1.0932797618282001e-05,0,1.0329823415691622e-06
Metal,Used Oil Filters,SIERRA,0,0.000611735138123505,0,0.0,0,0.0005539355137764612
Metal,Other Ferrous,SIERRA,8,0.0104046427838408,1,0.007565485675041571,8,0.010136385814240824
Metal,Aluminum Cans,SIERRA,2,0.0032502002432076,0,0.00227739446282066,3,0.003158284959672512
Metal,Other Non-Ferrous,SIERRA,8,0.010888313743515999,1,0.00768714263469483,9,0.010585851981832598
Metal,Remainder / Composite Metal,SIERRA,9,0.0121861069804696,1,0.008523796569680971,10,0.011840074600124114
Electronics,Brown Goods,SIERRA,0,0.0,0,0.00453436039488614,0,0.00042842778049741263
Electronics,Computer-related Electronics,SIERRA,2,0.00262417222802513,0,0.00201706805339667,2,0.0025668101589756283
Electronics,Other Small Consumer Electronics,SIERRA,4,0.00509398138381349,0,0.00261664724282099,4,0.004859911156671226
Electronics,Video Display Devices,SIERRA,5,0.00634603741417842,0,0.00653254413252071,5,0.0063636594495767
Plastic,PETE Plastic Containers,SIERRA,8,0.0112199084912839,1,0.00925575177699064,9,0.01103432569054252
Plastic,HDPE Plastic Containers,SIERRA,5,0.0063717645928845395,0,0.00466298875785393,5,0.006210311383475903
Plastic,Miscellaneous Plastic Containers,SIERRA,4,0.006114492805823261,0,0.00638361235962469,5,0.006139920491997837
Plastic,Plastic Trash Bags,SIERRA,13,0.0173063872580716,1,0.0112707745793956,14,0.016736114073173568
Plastic,Plastic Grocery and Other Merchandise Bags,SIERRA,5,0.0070178026359495604,1,0.0087813977992591,6,0.007184435434340444
Plastic,Non-Bag Commercial and Industrial Packaging Film,SIERRA,1,0.0020095785144898302,0,0.00168720787646775,2,0.001979119414436579
Plastic,Film Products,SIERRA,0,5.71715082358416e-06,0,1.60033976566839e-05,0,6.689043994079294e-06
Plastic,Other Film - Other,SIERRA,20,0.0273994453220271,2,0.0214910767881785,22,0.026841194764755043
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,SIERRA,7,0.0092760772112653,0,0.0016786981816595801,7,0.008558240967167348
Plastic,Durable Plastic Items - Other,SIERRA,7,0.0100621854495081,1,0.0112605235062998,8,0.01017541008743848
Plastic,Remainder / Composite Plastic,SIERRA,13,0.0183349026912344,3,0.0336593115318444,16,0.0197828251974432
Other Organic,Food,SIERRA,183,0.249822339538157,19,0.247713326035693,202,0.24962306998408296
Other Organic,Leaves and Grass,SIERRA,15,0.0206846516797275,2,0.0298758256509316,17,0.02155307719550466
Other Organic,Prunings and Trimmings,SIERRA,7,0.00987637804774164,1,0.00776987682463602,8,0.009677345865683931
Other Organic,Branches and Stumps,SIERRA,5,0.0065347033913567,0,0.0,5,0.005917273759313045
Other Organic,Manures,SIERRA,4,0.0048367095967522,0,0.0,4,0.004379714436026976
Other Organic,Textiles,SIERRA,25,0.0343263452598817,6,0.0744969455238916,31,0.038121853250770166
Other Organic,Carpet,SIERRA,6,0.00844994891725739,0,0.006261910364042079,7,0.008243212703247134
Other Organic,Remainder / Composite Organic,SIERRA,53,0.0730366017712877,6,0.0747577651799157,59,0.07319922541714159
Inerts and Other,Concrete,SIERRA,1,0.00158365077813281,0,0.00380054474914847,1,0.0017931133882666441
Inerts and Other,Asphalt Paving,SIERRA,0,0.0,0,0.0,0,0.0
Inerts and Other,Asphalt Roofing,SIERRA,16,0.0212249224325562,0,0.0,16,0.019219491541075825
Inerts and Other,Clean Dimensional Lumber,SIERRA,1,0.0017322966995459998,0,0.00520836277968044,2,0.00206073183612092
Inerts and Other,Clean Engineered Wood,SIERRA,6,0.007741022215132959,0,0.00131834677248041,6,0.0071341775126575685
Inerts and Other,Clean Pallets & Crates,SIERRA,6,0.0077238707626622,2,0.0199110136755632,7,0.008875369570447206
Inerts and Other,Other Wood Waste,SIERRA,11,0.0145787346001396,2,0.0211054469970467,12,0.015195409205295697
Inerts and Other,Gypsum Board,SIERRA,0,0.000463089216710317,0,0.00414580933333641,1,0.000811050002434079
Inerts and Other,"Rock, Soil and Fines",SIERRA,12,0.0164854043998049,0,0.00294628003745275,12,0.015206164000876125
Inerts and Other,Remainder / Composite Inerts and Other,SIERRA,2,0.00322447306450147,0,0.0025126578056591698,3,0.003157217397789593
Household Hazardous Waste (HHW),Paint,SIERRA,0,0.000463089216710317,0,4.0077500773254e-06,0,0.00041971303204734015
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,SIERRA,0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Used Oil,SIERRA,0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Batteries,SIERRA,3,0.00355606781226935,0,0.00036110161962440697,3,0.0032541923203647147
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,SIERRA,2,0.00219824449166811,0,0.00045538993466306504,2,0.0020335713636940767
Special Waste,Ash,SIERRA,1,0.000897592679302713,0,0.000931303337992967,1,0.0009007778215110957
Special Waste,Treated Medical Waste,SIERRA,0,0.0,1,0.0073855680185596,1,0.0006978233396429482
Special Waste,Bulky Items,SIERRA,10,0.0135782332060124,2,0.0281400658522521,12,0.014954103912637141
Special Waste,Tires,SIERRA,3,0.00412778289462777,0,0.0,3,0.0037377704761365023
Special Waste,Remainder / Composite Special Waste,SIERRA,0,0.000142928770589604,0,0.00020231600461172,0,0.00014853995687525307
Mixed Residue,Mixed Residue,SIERRA,57,0.0784255881375981,3,0.0344700708823858,60,0.07427246331772168
Paper,Uncoated Corrugated Cardboard,LAKE,173,0.0161793494292533,192,0.0356791218393351,366,0.022701174343266853
Paper,Paper Bags,LAKE,49,0.00456440900680248,28,0.00527466562364938,77,0.004801958922856891
Paper,Newspaper,LAKE,94,0.00876846993412055,250,0.0464310841690457,344,0.021364974687028384
Paper,White Ledger Paper,LAKE,36,0.00333252138623951,28,0.0052869012166633,64,0.003986176352125852
Paper,Other Office Paper,LAKE,32,0.0029693799107901103,32,0.0058879491862709995,64,0.003945514268351357
Paper,Magazines and Catalogs,LAKE,118,0.0110395008536618,40,0.007478042212656609,159,0.009848347992660836
Paper,Phone Books and Directories,LAKE,20,0.0018352611490019802,2,0.000306365386920027,21,0.0013239120797728168
Paper,Other Miscellaneous Paper - Compostable,LAKE,23,0.00216488187287143,16,0.00295972626349685,39,0.0024307227165760786
Paper,Other Miscellaneous Paper - Other,LAKE,543,0.0506666160130865,254,0.0471909615637325,797,0.049504160918555265
Paper,Remainder / Composite Paper - Compostable,LAKE,1171,0.10928882373448,365,0.0676951863054057,1536,0.09537756286719244
Paper,Remainder / Composite Paper - Other,LAKE,168,0.0156821249474842,59,0.0109194056132361,227,0.014089202683607216
Glass,Clear Glass Bottles and Containers,LAKE,104,0.009687497206604041,88,0.0164193762236836,192,0.011939017653530648
Glass,Green Glass Bottles and Containers,LAKE,51,0.0047459797445271795,8,0.00148785037811019,59,0.0036562773198982952
Glass,Brown Glass Bottles and Containers,LAKE,48,0.00447222693995763,37,0.00682128720880721,85,0.005257885329384867
Glass,Other Glass Colored Bottles and Containers,LAKE,6,0.000581026360719043,3,0.000619255891282891,10,0.0005938124743022679
Glass,Flat Glass,LAKE,1,4.74877314049218e-05,3,0.000579854656700671,4,0.00022554129037853898
Glass,Remainder / Composite Glass,LAKE,13,0.0012011602649480198,21,0.00398097723909204,34,0.0021308880185394886
Metal,Tin/Steel Cans,LAKE,77,0.00715388706635321,50,0.00929533537355549,127,0.007870108293364205
Metal,Major Appliances,LAKE,0,0.0,0,1.0932797618282001e-05,0,3.656544824590625e-06
Metal,Used Oil Filters,LAKE,1,0.000122909422459798,0,0.0,1,8.180157172658183e-05
Metal,Other Ferrous,LAKE,73,0.00676839842318385,41,0.007565485675041571,113,0.00703498940632376
Metal,Aluminum Cans,LAKE,31,0.00287105237282227,12,0.00227739446282066,43,0.0026724996478762093
Metal,Other Non-Ferrous,LAKE,46,0.00429344959819793,41,0.00768714263469483,87,0.005428492168463852
Metal,Remainder / Composite Metal,LAKE,81,0.007561722877242541,46,0.008523796569680971,127,0.007883494641779539
Electronics,Brown Goods,LAKE,31,0.0029051318035952104,24,0.00453436039488614,56,0.0034500378360271962
Electronics,Computer-related Electronics,LAKE,3,0.000262579220709567,11,0.00201706805339667,14,0.000849379350461918
Electronics,Other Small Consumer Electronics,LAKE,57,0.005346559877001189,14,0.00261664724282099,71,0.004433522952453712
Electronics,Video Display Devices,LAKE,75,0.007028184247928421,35,0.00653254413252071,111,0.006862414207895575
Plastic,PETE Plastic Containers,LAKE,76,0.007061704999508359,50,0.00925575177699064,126,0.007795518124860371
Plastic,HDPE Plastic Containers,LAKE,42,0.0039358949146785106,25,0.00466298875785393,67,0.004179076149901316
Plastic,Miscellaneous Plastic Containers,LAKE,68,0.00634100884053955,34,0.00638361235962469,102,0.0063552578628538
Plastic,Plastic Trash Bags,LAKE,182,0.016978260675242,61,0.0112707745793956,243,0.015069355061706119
Plastic,Plastic Grocery and Other Merchandise Bags,LAKE,39,0.00364538173431899,47,0.0087813977992591,86,0.005363155502477535
Plastic,Non-Bag Commercial and Industrial Packaging Film,LAKE,17,0.00157268192829241,9,0.00168720787646775,26,0.0016109858718668885
Plastic,Film Products,LAKE,0,2.2347167719963197e-05,0,1.60033976566839e-05,0,2.022545282107147e-05
Plastic,Other Film - Other,LAKE,282,0.0262970296144667,116,0.0214910767881785,398,0.02468964762974901
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,LAKE,34,0.00313977706465483,9,0.0016786981816595801,43,0.0026511097889521194
Plastic,Durable Plastic Items - Other,LAKE,78,0.007318697428287941,61,0.0112605235062998,139,0.008637066636996987
Plastic,Remainder / Composite Plastic,LAKE,221,0.020645989577281,181,0.0336593115318444,403,0.02499837921304265
Other Organic,Food,LAKE,2616,0.244059005461648,1334,0.247713326035693,3950,0.24528121659634175
Other Organic,Leaves and Grass,LAKE,223,0.0208080065432507,161,0.0298758256509316,384,0.023840797251190718
Other Organic,Prunings and Trimmings,LAKE,125,0.0116931555094707,42,0.00776987682463602,167,0.010380989596285773
Other Organic,Branches and Stumps,LAKE,2,0.000217884885269641,0,0.0,2,0.00014501187715166718
Other Organic,Manures,LAKE,2,0.000198331113514673,0,0.0,2,0.00013199799074061999
Other Organic,Textiles,LAKE,532,0.0496107123383183,401,0.0744969455238916,933,0.057934073872615385
Other Organic,Carpet,LAKE,19,0.0017989470014570397,34,0.006261910364042079,53,0.003291613943220323
Other Organic,Remainder / Composite Organic,LAKE,948,0.0884305360638593,403,0.0747577651799157,1350,0.08385758947149805
Inerts and Other,Concrete,LAKE,26,0.00237997336217608,20,0.00380054474914847,46,0.002855092644024788
Inerts and Other,Asphalt Paving,LAKE,0,0.0,0,0.0,0,0.0
Inerts and Other,Asphalt Roofing,LAKE,50,0.00462307032206738,0,0.0,50,0.003076854572897552
Inerts and Other,Clean Dimensional Lumber,LAKE,220,0.0205091131749962,28,0.00520836277968044,248,0.01539167831305492
Inerts and Other,Clean Engineered Wood,LAKE,86,0.00799749264778182,7,0.00131834677248041,93,0.005763609140949188
Inerts and Other,Clean Pallets & Crates,LAKE,0,0.0,107,0.0199110136755632,107,0.006659367213199595
Inerts and Other,Other Wood Waste,LAKE,408,0.0380544332311323,114,0.0211054469970467,521,0.032385735239991546
Inerts and Other,Gypsum Board,LAKE,83,0.00777681436654718,22,0.00414580933333641,106,0.006562401265178918
Inerts and Other,"Rock, Soil and Fines",LAKE,187,0.0174542553476772,16,0.00294628003745275,203,0.012601969236830296
Inerts and Other,Remainder / Composite Inerts and Other,LAKE,93,0.008634386927800771,14,0.0025126578056591698,106,0.006586935056773623
Household Hazardous Waste (HHW),Paint,LAKE,3,0.000287719784394526,0,4.0077500773254e-06,3,0.000192830460821768
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,LAKE,0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Used Oil,LAKE,0,0.0,0,0.0,0,0.0
Household Hazardous Waste (HHW),Batteries,LAKE,16,0.00149446684127254,2,0.00036110161962440697,18,0.0011154055176952613
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,LAKE,34,0.00320681856781472,2,0.00045538993466306504,37,0.002286585478348447
Special Waste,Ash,LAKE,0,0.0,5,0.000931303337992967,5,0.00031148042061692166
Special Waste,Treated Medical Waste,LAKE,0,0.0,40,0.0073855680185596,40,0.002470150958412222
Special Waste,Bulky Items,LAKE,112,0.0104696480768027,152,0.0281400658522521,264,0.0163796335097286
Special Waste,Tires,LAKE,0,0.0,0,0.0,0,0.0
Special Waste,Remainder / Composite Special Waste,LAKE,36,0.0033632487418544603,1,0.00020231600461172,37,0.002306054358056812
Mixed Residue,Mixed Residue,LAKE,733,0.0684326143504572,186,0.0344700708823858,919,0.05707362217992201
Paper,Uncoated Corrugated Cardboard,SHASTA,887,0.0257667648205132,371,0.0356791218393351,1258,0.02806516944225765
Paper,Paper Bags,SHASTA,104,0.0030114130068751898,55,0.00527466562364938,158,0.003536199418895213
Paper,Newspaper,SHASTA,448,0.0130255343532942,482,0.0464310841690457,931,0.02077136815878029
Paper,White Ledger Paper,SHASTA,49,0.00143532058989468,55,0.0052869012166633,104,0.002328396847819715
Paper,Other Office Paper,SHASTA,85,0.00248144848137561,61,0.0058879491862709995,147,0.003271322872425124
Paper,Magazines and Catalogs,SHASTA,261,0.007571316111694441,78,0.007478042212656609,338,0.007549688444306189
Paper,Phone Books and Directories,SHASTA,11,0.00031742666891901604,3,0.000306365386920027,14,0.000314861860002164
Paper,Other Miscellaneous Paper - Compostable,SHASTA,77,0.0022330276100476897,31,0.00295972626349685,108,0.0024015291622548488
Paper,Other Miscellaneous Paper - Other,SHASTA,1838,0.0533966861759858,490,0.0471909615637325,2328,0.051957748282304934
Paper,Remainder / Composite Paper - Compostable,SHASTA,2749,0.0798562692043134,703,0.0676951863054057,3452,0.07703644652367421
Paper,Remainder / Composite Paper - Other,SHASTA,365,0.0105937700461842,113,0.0109194056132361,478,0.010669276032388618
Glass,Clear Glass Bottles and Containers,SHASTA,484,0.0140468201576424,171,0.0164193762236836,654,0.014596951051554154
Glass,Green Glass Bottles and Containers,SHASTA,76,0.00222198668243311,15,0.00148785037811019,92,0.002051760542308998
Glass,Brown Glass Bottles and Containers,SHASTA,185,0.005368651052586829,71,0.00682128720880721,256,0.005705477666966266
Glass,Other Glass Colored Bottles and Containers,SHASTA,9,0.000256701567038856,6,0.000619255891282891,15,0.000340768003799925
Glass,Flat Glass,SHASTA,8,0.00023737994371335097,6,0.000579854656700671,14,0.00031679046753387187
Glass,Remainder / Composite Glass,SHASTA,69,0.00199840789823798,41,0.00398097723909204,110,0.002458111531520693
Metal,Tin/Steel Cans,SHASTA,412,0.0119628450703914,97,0.00929533537355549,508,0.011344322492551026
Metal,Major Appliances,SHASTA,0,0.0,0,1.0932797618282001e-05,0,2.5350169013023176e-06
Metal,Used Oil Filters,SHASTA,0,0.0,0,0.0,0,0.0
Metal,Other Ferrous,SHASTA,287,0.00832982783881571,79,0.007565485675041571,365,0.008152597785612737
Metal,Aluminum Cans,SHASTA,118,0.00342544779242173,24,0.00227739446282066,142,0.0031592456092524
Metal,Other Non-Ferrous,SHASTA,100,0.0029010037307294397,80,0.00768714263469483,180,0.004010778505416928
Metal,Remainder / Composite Metal,SHASTA,186,0.00541005453114149,89,0.008523796569680971,275,0.006132046190512707
Electronics,Brown Goods,SHASTA,0,0.0,47,0.00453436039488614,47,0.0010513942212202509
Electronics,Computer-related Electronics,SHASTA,125,0.0036214242575804204,21,0.00201706805339667,146,0.0032494179116005014
Electronics,Other Small Consumer Electronics,SHASTA,277,0.00805435669483207,27,0.00261664724282099,304,0.006793500521827597
Electronics,Video Display Devices,SHASTA,0,0.0,68,0.00653254413252071,68,0.001514718406270615
Plastic,PETE Plastic Containers,SHASTA,331,0.00961388772039072,96,0.00925575177699064,427,0.009530845785363505
Plastic,HDPE Plastic Containers,SHASTA,284,0.00826413431950899,48,0.00466298875785393,333,0.007429127107120844
Plastic,Miscellaneous Plastic Containers,SHASTA,302,0.00877477722168305,66,0.00638361235962469,368,0.008220331456677594
Plastic,Plastic Trash Bags,SHASTA,520,0.0151150299043524,117,0.0112707745793956,637,0.014223652183668103
Plastic,Plastic Grocery and Other Merchandise Bags,SHASTA,433,0.0125811370168076,91,0.0087813977992591,524,0.011700081364508754
Plastic,Non-Bag Commercial and Industrial Packaging Film,SHASTA,33,0.000957800470564335,18,0.00168720787646775,51,0.0011269301084173404
Plastic,Film Products,SHASTA,59,0.00172238470787362,0,1.60033976566839e-05,59,0.0013267215288321624
Plastic,Other Film - Other,SHASTA,846,0.0245688241743318,223,0.0214910767881785,1069,0.02385517869087468
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,SHASTA,407,0.0118331141709202,17,0.0016786981816595801,425,0.009478582691019337
Plastic,Durable Plastic Items - Other,SHASTA,328,0.00952280006757048,117,0.0112605235062998,445,0.009925730629424256
Plastic,Remainder / Composite Plastic,SHASTA,1017,0.0295565632242158,350,0.0336593115318444,1367,0.03050787840124203
Other Organic,Food,SHASTA,8815,0.256091555788151,2574,0.247713326035693,11389,0.2541488733415319
Other Organic,Leaves and Grass,SHASTA,821,0.0238484036474808,310,0.0298758256509316,1131,0.025245998040381516
Other Organic,Prunings and Trimmings,SHASTA,702,0.020392593304118998,81,0.00776987682463602,783,0.01746573041567334
