SWIS Number,Site Name,Activity,Waste Type,Site Is Archived,Site Operational Status,Site Regulatory Status,Site Type,Latitude,Longitude,Point of Contact,Activity Is Archived,Activity Operational Status,Activity Regulatory Status,Activity Category,Activity Classification
34-AA-0205,Nilesen Farms,Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,38.23553,-121.10314,Alyssa Williams,Yes,Closed,Notification,Composting,Solid Waste Operation
58-AA-0029,Mushroom Adventures,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,39.30385,-121.59691,Margaret Comotto,No,Active,Notification,Composting,Solid Waste Operation
58-AA-0029,Mushroom Adventures,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,39.30385,-121.59691,Margaret Comotto,No,Active,Notification,Composting,Solid Waste Operation
39-AA-0037,Delicato Vineyards,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.85652,-121.22003,Christine Karl,No,Active,Notification,Composting,Solid Waste Operation
34-AA-0201,Nilsen Farms Compost,Agricultural Material Composting Operation,Manure,Yes,Closed,TBD (Pending Investigation) ,Non-Disposal Only,38.44778,-121.16695,Alyssa Williams,Yes,Closed,To Be Determined,Composting,Solid Waste Operation
34-AA-0201,Nilsen Farms Compost,Agricultural Material Composting Operation,Wood waste,Yes,Closed,TBD (Pending Investigation) ,Non-Disposal Only,38.44778,-121.16695,Alyssa Williams,Yes,Closed,To Be Determined,Composting,Solid Waste Operation
23-AA-0039,North American Organics,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,39.26667,-123.2,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
24-AA-0017,Foster Farms Manure Storage Facility,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.29028,-120.70806,Harprit Mattu,No,Active,Notification,Composting,Solid Waste Operation
24-AA-0017,Foster Farms Manure Storage Facility,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.29028,-120.70806,Harprit Mattu,No,Active,Notification,Composting,Solid Waste Operation
24-AA-0024,Kenneth Stone & Family Spreading Service,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.11624,-120.52657,Harprit Mattu,No,Active,Notification,Composting,Solid Waste Operation
24-AA-0024,Kenneth Stone & Family Spreading Service,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.11624,-120.52657,Harprit Mattu,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0044,JND Thomas Composting Site A,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,37.69618,-120.76863,Justin Vlach,Yes,Closed,Notification,Composting,Solid Waste Operation
50-AA-0044,JND Thomas Composting Site A,Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,37.69618,-120.76863,Justin Vlach,Yes,Closed,Notification,Composting,Solid Waste Operation
28-AA-0044,Bennett Lane Compost,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,38.60275,-122.6114,Kate Whitney,Yes,Closed,Notification,Composting,Solid Waste Operation
50-AA-0045,JND Thomas Composting Site B,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,37.6979,-120.76988,Justin Vlach,Yes,Closed,Notification,Composting,Solid Waste Operation
50-AA-0045,JND Thomas Composting Site B,Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,37.6979,-120.76988,Justin Vlach,Yes,Closed,Notification,Composting,Solid Waste Operation
55-AA-0013,Triple J Farms,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.79871,-120.47352,Margaret Comotto,No,Active,Notification,Composting,Solid Waste Operation
55-AA-0013,Triple J Farms,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.79871,-120.47352,Margaret Comotto,No,Active,Notification,Composting,Solid Waste Operation
55-AA-0013,Triple J Farms,Agricultural Material Composting Operation,Wood waste,No,Active,Notification,Non-Disposal Only,37.79871,-120.47352,Margaret Comotto,No,Active,Notification,Composting,Solid Waste Operation
24-AA-0039,D.A.T.T.,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.11558,-120.58075,Harprit Mattu,No,Active,Notification,Composting,Solid Waste Operation
24-AA-0039,D.A.T.T.,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.11558,-120.58075,Harprit Mattu,No,Active,Notification,Composting,Solid Waste Operation
13-AA-0115,SpreadCo. Inc.- Phillips,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,32.7153,-115.59557,Gina Weber,No,Active,Notification,Composting,Solid Waste Operation
13-AA-0115,SpreadCo. Inc.- Phillips,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,32.7153,-115.59557,Gina Weber,No,Active,Notification,Composting,Solid Waste Operation
54-AA-0051,Harvest- Tulare Ag. Material Composting,Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,36.23222,-119.26835,Joy Isaacson,Yes,Closed,Notification,Composting,Solid Waste Operation
36-AA-0491,Harvest- Ontario B1,Agricultural Material Composting Operation,Manure,Yes,Planned,Notification,Non-Disposal Only,34.00482,-117.64484,Megan Emslander,Yes,Planned,Notification,Composting,Solid Waste Operation
54-AA-0052,"Cain Trucking, Inc. (Exeter)",Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,36.2374,-119.16101,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
42-AA-0083,Duncan Family Farms,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,34.92821,-119.67694,Gina Weber,No,Active,Notification,Composting,Solid Waste Operation
42-AA-0083,Duncan Family Farms,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,34.92821,-119.67694,Gina Weber,No,Active,Notification,Composting,Solid Waste Operation
42-AA-0083,Duncan Family Farms,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,34.92821,-119.67694,Gina Weber,No,Active,Notification,Composting,Solid Waste Operation
54-AA-0058,Rankin Field Agricultural Composting,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,36.15457,-119.25539,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
54-AA-0058,Rankin Field Agricultural Composting,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,36.15457,-119.25539,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
36-AA-0501,Limoneira Agromin Ag Material Compost Op,Agricultural Material Composting Operation,Agricultural,No,Planned,Notification,Non-Disposal Only,34.53972,-115.52655,Megan Emslander,No,Planned,Notification,Composting,Solid Waste Operation
36-AA-0501,Limoneira Agromin Ag Material Compost Op,Agricultural Material Composting Operation,Green Materials,No,Planned,Notification,Non-Disposal Only,34.53972,-115.52655,Megan Emslander,No,Planned,Notification,Composting,Solid Waste Operation
54-AA-0061,Cain Compost Site,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,36.05285,-119.40388,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
54-AA-0061,Cain Compost Site,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,36.05285,-119.40388,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
54-AA-0062,Slover Bros Trucking Inc.,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,36.23989,-119.24262,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
54-AA-0062,Slover Bros Trucking Inc.,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,36.23989,-119.24262,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
06-AA-0026,Western Milling Innovations,Agricultural Material Composting Operation,Agricultural,Yes,Active,Notification,Non-Disposal Only,39.16533,-121.9971,John Loane,Yes,Active,Notification,Composting,Solid Waste Operation
27-AA-0097,Keith Day Gonzales Pit,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,36.48993,-121.47043,Eric Kiruja,Yes,Closed,Notification,Composting,Solid Waste Operation
58-AA-0025,Black Earth Compost,Agricultural Material Composting Operation,Agricultural,Yes,Active,Notification,Non-Disposal Only,39.04794,-121.46969,Margaret Comotto,Yes,Active,Notification,Composting,Solid Waste Operation
58-AA-0025,Black Earth Compost,Agricultural Material Composting Operation,Green Materials,Yes,Active,Notification,Non-Disposal Only,39.04794,-121.46969,Margaret Comotto,Yes,Active,Notification,Composting,Solid Waste Operation
58-AA-0025,Black Earth Compost,Agricultural Material Composting Operation,Manure,Yes,Active,Notification,Non-Disposal Only,39.04794,-121.46969,Margaret Comotto,Yes,Active,Notification,Composting,Solid Waste Operation
58-AA-0025,Black Earth Compost,Agricultural Material Composting Operation,Wood waste,Yes,Active,Notification,Non-Disposal Only,39.04794,-121.46969,Margaret Comotto,Yes,Active,Notification,Composting,Solid Waste Operation
10-AA-0193,Harris Ranch Feeding Company,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,36.31535,-120.24435,Kate Whitney,No,Active,Notification,Composting,Solid Waste Operation
10-AA-0193,Harris Ranch Feeding Company,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,36.31535,-120.24435,Kate Whitney,No,Active,Notification,Composting,Solid Waste Operation
19-AA-1098,Los Angeles Equestrian Center,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,34.16071,-118.31025,Benjamin Escotto,No,Active,Notification,Composting,Solid Waste Operation
19-AA-1098,Los Angeles Equestrian Center,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,34.16071,-118.31025,Benjamin Escotto,No,Active,Notification,Composting,Solid Waste Operation
36-AA-0444,Chino Composting Operation,Agricultural Material Composting Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,34.01439,-117.64731,Megan Emslander,Yes,Closed,Notification,Composting,Solid Waste Operation
36-AA-0444,Chino Composting Operation,Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,34.01439,-117.64731,Megan Emslander,Yes,Closed,Notification,Composting,Solid Waste Operation
13-AA-0102,"Superior Cattle Feeders, LLC",Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,33.19286,-115.4804,Gina Weber,Yes,Active,Notification,Composting,Solid Waste Operation
11-AA-0033,Willow Glenn Orchards,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,39.73934,-122.0655,John Loane,Yes,Closed,Notification,Composting,Solid Waste Operation
11-AA-0033,Willow Glenn Orchards,Agricultural Material Composting Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,39.73934,-122.0655,John Loane,Yes,Closed,Notification,Composting,Solid Waste Operation
50-AA-0038,John Brichetto Compost Site J,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.70093,-120.78692,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0038,John Brichetto Compost Site J,Agricultural Material Composting Operation,Ash,No,Active,Notification,Non-Disposal Only,37.70093,-120.78692,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0038,John Brichetto Compost Site J,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.70093,-120.78692,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0038,John Brichetto Compost Site J,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.70093,-120.78692,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0038,John Brichetto Compost Site J,Agricultural Material Composting Operation,Other designated,No,Active,Notification,Non-Disposal Only,37.70093,-120.78692,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0039,John Brichetto Compost Site K,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.743,-120.85098,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0039,John Brichetto Compost Site K,Agricultural Material Composting Operation,Ash,No,Active,Notification,Non-Disposal Only,37.743,-120.85098,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0039,John Brichetto Compost Site K,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.743,-120.85098,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0039,John Brichetto Compost Site K,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.743,-120.85098,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0039,John Brichetto Compost Site K,Agricultural Material Composting Operation,Other designated,No,Active,Notification,Non-Disposal Only,37.743,-120.85098,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0035,John Brichetto Compost Site G,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.76703,-120.88385,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0035,John Brichetto Compost Site G,Agricultural Material Composting Operation,Ash,No,Active,Notification,Non-Disposal Only,37.76703,-120.88385,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0035,John Brichetto Compost Site G,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.76703,-120.88385,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0035,John Brichetto Compost Site G,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.76703,-120.88385,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0035,John Brichetto Compost Site G,Agricultural Material Composting Operation,Other designated,No,Active,Notification,Non-Disposal Only,37.76703,-120.88385,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0043,John Brichetto Compost Site O,Agricultural Material Composting Operation,Other designated,No,Active,Notification,Non-Disposal Only,37.7216,-120.86061,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0043,John Brichetto Compost Site O,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,37.7216,-120.86061,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0043,John Brichetto Compost Site O,Agricultural Material Composting Operation,Ash,No,Active,Notification,Non-Disposal Only,37.7216,-120.86061,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0043,John Brichetto Compost Site O,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,37.7216,-120.86061,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
50-AA-0043,John Brichetto Compost Site O,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.7216,-120.86061,Justin Vlach,No,Active,Notification,Composting,Solid Waste Operation
49-AA-0400,Hafner Vineyard,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,38.68108,-122.80373,Alyssa Williams,Yes,Closed,Notification,Composting,Solid Waste Operation
49-AA-0400,Hafner Vineyard,Agricultural Material Composting Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,38.68108,-122.80373,Alyssa Williams,Yes,Closed,Notification,Composting,Solid Waste Operation
56-AA-0155,Coyote Canyon Farms,Agricultural Material Composting Operation,Agricultural,Yes,Inactive,Notification,Non-Disposal Only,34.31827,-119.0057,Theodore Tasiopoulos,Yes,Inactive,Notification,Composting,Solid Waste Operation
56-AA-0155,Coyote Canyon Farms,Agricultural Material Composting Operation,Green Materials,Yes,Inactive,Notification,Non-Disposal Only,34.31827,-119.0057,Theodore Tasiopoulos,Yes,Inactive,Notification,Composting,Solid Waste Operation
40-AA-0031,Cagliero Ranches Inc. Composting,Agricultural Material Composting Operation,Agricultural,Yes,Active,Excluded,Non-Disposal Only,35.72895,-120.6749,Candice Houghton,Yes,Active,Excluded,Composting,Solid Waste Operation
40-AA-0031,Cagliero Ranches Inc. Composting,Agricultural Material Composting Operation,Green Materials,Yes,Active,Excluded,Non-Disposal Only,35.72895,-120.6749,Candice Houghton,Yes,Active,Excluded,Composting,Solid Waste Operation
40-AA-0031,Cagliero Ranches Inc. Composting,Agricultural Material Composting Operation,Manure,Yes,Active,Excluded,Non-Disposal Only,35.72895,-120.6749,Candice Houghton,Yes,Active,Excluded,Composting,Solid Waste Operation
49-AA-0369,Grab N` Grow,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,38.4025,-122.78917,Alyssa Williams,No,Active,Notification,Composting,Solid Waste Operation
49-AA-0369,Grab N` Grow,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,38.4025,-122.78917,Alyssa Williams,No,Active,Notification,Composting,Solid Waste Operation
49-AA-0369,Grab N` Grow,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,38.4025,-122.78917,Alyssa Williams,No,Active,Notification,Composting,Solid Waste Operation
42-AA-0055,Valley Compost & Topsoil Inc,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,34.62173,-120.21363,Gina Weber,Yes,Closed,Notification,Composting,Solid Waste Operation
24-AA-0028,A&D Transport,Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,37.14649,-120.94361,Harprit Mattu,Yes,Closed,Notification,Composting,Solid Waste Operation
24-AA-0028,A&D Transport,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,37.14649,-120.94361,Harprit Mattu,Yes,Closed,Notification,Composting,Solid Waste Operation
24-AA-0028,A&D Transport,Agricultural Material Composting Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,37.14649,-120.94361,Harprit Mattu,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0363,Superior Composting - Bear Mountain #1,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,35.19415,-119.00298,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0363,Superior Composting - Bear Mountain #1,Agricultural Material Composting Operation,Manure,Yes,Closed,Notification,Non-Disposal Only,35.19415,-119.00298,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
39-AA-0043,Nilsen Farms,Agricultural Material Composting Operation,Agricultural,Yes,Inactive,Notification,Non-Disposal Only,38.23555,-121.10314,Christine Karl,Yes,Inactive,Notification,Composting,Solid Waste Operation
39-AA-0043,Nilsen Farms,Agricultural Material Composting Operation,Manure,Yes,Inactive,Notification,Non-Disposal Only,38.23555,-121.10314,Christine Karl,Yes,Inactive,Notification,Composting,Solid Waste Operation
44-AA-0014,Fitz Fresh Mushroom Farm Compost Op.,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,36.9043,-121.7871,Lisa McAlpine,No,Active,Notification,Composting,Solid Waste Operation
43-AA-0025,San Martin Mushrooms,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Surrendered,Non-Disposal Only,37.08096,-121.57267,Eric Kiruja,Yes,Closed,Surrendered,Composting,Solid Waste Operation
36-AA-0480,Partida Fertilizer,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,33.98995,-117.61164,Megan Emslander,No,Active,Notification,Composting,Solid Waste Operation
36-AA-0480,Partida Fertilizer,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,33.98995,-117.61164,Megan Emslander,No,Active,Notification,Composting,Solid Waste Operation
40-AA-0050,"JTS, Inc.",Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,35.04828,-120.46731,Candice Houghton,No,Active,Notification,Composting,Solid Waste Operation
54-AA-0060,Bakke AG Compost,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,35.99941,-119.35751,Joy Isaacson,No,Active,Notification,Composting,Solid Waste Operation
39-AA-0059,Bruce Mellor Inc.,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,37.8457,-121.07641,Christine Karl,No,Active,Notification,Composting,Solid Waste Operation
28-AA-0037,Joseph Phelps Vineyards,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,38.50202,-122.42783,Kate Whitney,No,Active,Notification,Composting,Solid Waste Operation
28-AA-0037,Joseph Phelps Vineyards,Agricultural Material Composting Operation,Manure,No,Active,Notification,Non-Disposal Only,38.50202,-122.42783,Kate Whitney,No,Active,Notification,Composting,Solid Waste Operation
39-AA-0046,Haley Farms Compost Operation,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Excluded,Non-Disposal Only,37.7963,-121.37609,Christine Karl,Yes,Closed,Excluded,Composting,Solid Waste Operation
39-AA-0046,Haley Farms Compost Operation,Agricultural Material Composting Operation,Manure,Yes,Closed,Excluded,Non-Disposal Only,37.7963,-121.37609,Christine Karl,Yes,Closed,Excluded,Composting,Solid Waste Operation
56-AA-0142,Peach Hill Organic Recycling,Agricultural Material Composting Operation,Agricultural,No,Active,Notification,Non-Disposal Only,34.28556,-118.91817,Theodore Tasiopoulos,No,Active,Notification,Composting,Solid Waste Operation
56-AA-0142,Peach Hill Organic Recycling,Agricultural Material Composting Operation,Green Materials,No,Active,Notification,Non-Disposal Only,34.28556,-118.91817,Theodore Tasiopoulos,No,Active,Notification,Composting,Solid Waste Operation
27-AA-0103,"M and M Dairy, Inc.",Agricultural Material Composting Operation,Agricultural,No,Closed,Surrendered,Non-Disposal Only,36.53527,-121.4643,Eric Kiruja,No,Closed,Surrendered,Composting,Solid Waste Operation
27-AA-0103,"M and M Dairy, Inc.",Agricultural Material Composting Operation,Green Materials,No,Closed,Surrendered,Non-Disposal Only,36.53527,-121.4643,Eric Kiruja,No,Closed,Surrendered,Composting,Solid Waste Operation
40-AA-0038,Alpha Produce,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,35.50968,-120.51757,Candice Houghton,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0380,Green-2- Green at Rio Bravo Ranch,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,35.4391,-119.2667,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0380,Green-2- Green at Rio Bravo Ranch,Agricultural Material Composting Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,35.4391,-119.2667,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0384,Green -2- Green Thomas Property,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,35.43164,-119.44877,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0384,Green -2- Green Thomas Property,Agricultural Material Composting Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,35.43164,-119.44877,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0385,Green 2 Green Arnold/Silizinoff Prop.,Agricultural Material Composting Operation,Agricultural,Yes,Closed,Notification,Non-Disposal Only,35.51798,-119.38163,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
15-AA-0385,Green 2 Green Arnold/Silizinoff Prop.,Agricultural Material Composting Operation,Green Materials,Yes,Closed,Notification,Non-Disposal Only,35.51798,-119.38163,Christine Karl,Yes,Closed,Notification,Composting,Solid Waste Operation
