SWIS Number,Site Name,Site Operational Status,Site Type,Site Regulatory Status,Latitude,Longitude,Is Archived,Operator,Started On,Contact Name,Contact First Name,Contact Last Name,Contact Title,Contact Email,Contact Phone,Street Address,OperatorCity,OperatorState,OperatorZip,County
49-CR-0025,Subregional Sludge Beneficial USe Projec,Closed,Disposal Only,Exempt,38.36833,-122.76733,Yes,City Of Santa Rosa Util Dept-Llano Dr,8/16/1994,Mike Reynolds,Mike,Reynolds,Biosolids Co-Ordinator,,(707) 543-3374,4301 Llano Road,Santa Rosa,CA,95407,Sonoma
49-CR-0006,Santa Rosa Biosolids Mgmt. - North      ,To be Determined,Disposal Only,Exempt,38.37583,-122.77889,Yes,City Of Santa Rosa Util Dept-Llano Dr,8/16/1994,Mike Reynolds,Mike,Reynolds,Biosolids Co-Ordinator,,(707) 543-3374,4301 Llano Road,Santa Rosa,CA,95407,Sonoma
49-AA-0346,Santa Rosa Land Application - So. Region,Active,Disposal Only,Exempt,38.2162,-122.55238,Yes,City Of Santa Rosa Util Dept-Llano Dr,8/16/1994,Mike Reynolds,Mike,Reynolds,Biosolids Co-Ordinator,,(707) 543-3374,4301 Llano Road,Santa Rosa,CA,95407,Sonoma
49-AA-0347,Santa Rosa Land Application - No. Region,Active,Disposal Only,Exempt,38.38923,-122.72978,Yes,City Of Santa Rosa Util Dept-Llano Dr,8/16/1994,Mike Reynolds,Mike,Reynolds,Biosolids Co-Ordinator,,(707) 543-3374,4301 Llano Road,Santa Rosa,CA,95407,Sonoma
56-CR-0020,Ventura Walker See-Ers By The Sea 1962,Closed,Disposal Only,Pre-regulation,34.23775,-119.26049,No,City Of Ventura                         ,8/16/1994,Bob Walker,Bob,Walker,,,,,,,93001,Ventura
41-CR-0013,San Mateo County Memorial Park,Closed,Disposal Only,TBD (Pending Investigation) ,37.2737,-122.3072,No,County Of San Mateo -Dept Parks & Recs  ,8/16/1994,Neil Cullen Or Kendall Simmons,Neil Cullen Or,Kendall Simmons,"Public Works Dir, Parks Superintendant",,(415) 363-4100,590 Hamilton Street,Redwood City,CA,94063,San Mateo
30-CR-0008,Gold Coast Biomass                      ,Closed,Disposal Only,Unpermitted,33.66667,-117.81667,Yes,"Braga, David                            ",8/16/1994,David Braga,David,Braga,,,,,,,,Orange
15-CR-0054,Derrick Engineering,Planned,Disposal Only,Proposed,35.05925,-119.3538,Yes,Derrick Engineering                     ,8/16/1994, ,,,,,(805) 399-6300,4004 S Enos Ln,Bakersfield,CA,93312,Kern
30-CR-0068,McColl Site,Closed,Disposal Only,Not Currently Regulated,33.86667,-117.91667,Yes,McColl E,8/16/1994,Eli Mccoll,Eli,Mccoll,,,,,,,,Orange
39-CR-0018,Barber Private Dump,Closed,Disposal Only,Pre-regulation,38.24931,-121.43787,No,"Barber, George",8/16/1994,George L Barber,George L,Barber,,,,29247 Benson Ferry Rd P.O. Box 18,Thornton,CA,95686,San Joaquin
37-CR-0010,Buzzard's Roost/Campo Tire Pile         ,To be Determined,Disposal Only,Unpermitted,32.6,-116.6,Yes,Buzzards Roost Tire Site I.             ,8/16/1994,Henry Smith,Henry,Smith,Operator,,,2430 Faivre St,Chula Vista,CA,91911,San Diego
42-CR-0005,Ocean View Nursery,Closed,Disposal Only,Pre-regulation,34.41908,-119.81055,No,Stevenson J                             ,8/16/1994, Seacrest Nursery,,Seacrest Nursery,,,,5299 Shoreline Dr,Santa Barbara,CA,93111,Santa Barbara
30-CR-0012,Recyc                                   ,Closed,Disposal Only,Pre-regulation,33.66667,-117.81667,Yes,Otman J                                 ,8/16/1994,Joe Otman,Joe,Otman,,,,,,,,Orange
23-CR-0027,Albion Ocean Dump                       ,Closed,Disposal Only,Pre-regulation,39.21667,-123.76667,Yes,Hughes J&K                              ,8/16/1994,John And Kather Hughes,John And Kather,Hughes,,,(707) 937-1465,PO Box 760,Albion,CA,95410,Mendocino
03-CR-0001,Lagomarsino Dump (BD),Closed,Disposal Only,Unpermitted,38.38,-120.74333,No,Lagomarsino J                           ,8/16/1994,John Lagomarsino,John,Lagomarsino,,,,PO Box 108,Jackson,CA,95642,Amador
42-CR-0018,Mission Hills,Closed,Disposal Only,Pre-regulation,34.68333,-120.43333,No,County Of Santa Barbara & City Of Lompec,8/16/1994, ,,,,,,,,,,Santa Barbara
05-CR-0018,Joses Brothers Ranch                    ,Closed,Disposal Only,Unpermitted,38.23333,-120.53333,Yes,Joses Brothers Ranch                    ,8/16/1994,Doug Joses,Doug,Joses,,,(209) 754-3420,8861 Whiskey Slide Rd,Mountain Ranch,CA,95246,Calaveras
30-CR-0101,Curti Dump,Closed,Disposal Only,Pre-regulation,33.85,-118.05,No,Curti L Truck & Equipment Co,8/16/1994,Mike O'Grady,Mike,O'Grady,,,,,,,,Orange
30-CR-0065,Lionel S. Peck                          ,Closed,Disposal Only,Pre-regulation,33.66667,-117.98333,Yes,Peck L                                  ,8/16/1994,Lionel S. Peck,Lionel S.,Peck,,,,,,,,Orange
36-CR-0042,West Main Illegal Dumpsite,Closed,Disposal Only,Unpermitted,34.9,-117.01667,Yes,"Haverlock, Marvin & Pringle, Bill       ",8/16/1994,Marvin Haverloc Bill Pringle,Marvin Haverloc,Bill Pringle,,,,,,,,San Bernardino
58-CR-0005,Camptonville Disposal Site,Closed,Disposal Only,Unpermitted,39.45833,-121.045,Yes,Bayview Business Park Owners Association,8/16/1994,Becky Cranford,Becky,Cranford,Mcavoy Management,,,PO Box 1269,Novato,CA,94948,Yuba
40-CR-0020,Nipomo Mesa Dump,Closed,Disposal Only,TBD (Pending Investigation) ,35.05,-120.46667,Yes,Nipomo Garbage Co                       ,8/16/1994, ,,,,,,,,,,San Luis Obispo
40-CR-0005,California Youth Authority,Closed,Disposal Only,TBD (Pending Investigation) ,35.28333,-120.65,Yes,Paso Robles School For Boys             ,8/16/1994, ,,,,,,PO Box 425,Paso Robles,CA,93447,San Luis Obispo
30-AB-0367,Aguinaga Fertilizer Inc.,Closed,Non-Disposal Only,Permitted,33.67785,-117.71473,Yes,Aguinaga R                              ,10/18/1995,Roger Aguinaga,Roger,Aguinaga,,,(714) 786-9558,7992 Irvine Blvd,Irvine,CA,92618,Orange
30-CR-0006,Aguinaga Farms                          ,Closed,Disposal Only,Unpermitted,33.66667,-117.81667,Yes,Aguinaga R                              ,8/16/1994,Roger Aguinaga,Roger,Aguinaga,,,(714) 786-9558,7992 Irvine Blvd,Irvine,CA,92618,Orange
09-CR-0001,Camino                                  ,Closed,Disposal Only,Pre-regulation,38.75333,-120.72333,No,"Bunting, Russell & Ingeborg             ",8/16/1994, ,,,,,(916) 642-2714,3100 N Canyon Rd,Camino,CA,95709,El Dorado
46-CR-0011,Downieville Lavezolla Road Dump,Closed,Disposal Only,Pre-regulation,39.60446,-120.78245,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0013,Downieville Town Dump,Closed,Disposal Only,Pre-regulation,39.575,-120.82167,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0012,Downieville Dump Saddleback Road,Closed,Disposal Only,Pre-regulation,39.62667,-120.86167,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0014,Cal-Ida Dump,Closed,Disposal Only,Pre-regulation,39.56667,-120.83333,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0004,Alleghany Landfill,Closed,Disposal Only,Pre-regulation,39.46667,-120.83333,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0005,Sierra City Landfill,Closed,Disposal Only,Pre-regulation,39.56722,-120.65361,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0008,Ramshorn Landfill,Closed,Disposal Only,Pre-regulation,39.54207,-120.911,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0015,Sierra City Town Dump,Closed,Disposal Only,Pre-regulation,39.56694,-120.64,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0006,Alleghany (Footes Crossing),Closed,Disposal Only,Pre-regulation,39.46667,-120.83333,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0007,Forest Town Dump,Closed,Disposal Only,Pre-regulation,39.5,-120.85,Yes,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0009,Sattley Landfill/Sierraville Bd,Closed,Disposal Only,Pre-regulation,39.64694,-120.41889,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
46-CR-0010,Loyalton Dump                           ,Closed,Disposal Only,Pre-regulation,39.67333,-120.22167,No,County Of Sierra                        ,8/16/1994, Board Of Supervisors,,Board Of Supervisors,,,(915) 289-3201,PO Box 98,Downieville,CA,95936,Sierra
48-AA-0081,Benicia State Rec Area/South Hampton,Closed,Disposal Only,Unpermitted,38.05,-122.15,Yes,Calif Parks,4/25/1996, ,,,,,,10556 E Empire St,Grass Valley,CA,95945,Solano
42-CR-0028,Vandenberg Air Force Base Landfill No.6 ,Closed,Disposal Only,Pre-regulation,34.58333,-120.58333,Yes,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0025,VAFB/IRP (Landfill 3/4),Closed,Disposal Only,Not Currently Regulated,34.7197,-120.52418,No,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0030,Vandenberg Air Force Base Landfill No.8 ,Closed,Disposal Only,Pre-regulation,34.58333,-120.58333,Yes,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0031,Vandenberg Air Force Base Landfill No.9,Closed,Disposal Only,Pre-regulation,34.7197,-120.52418,No,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0026,VAFB #4,Closed,Disposal Only,Not Currently Regulated,34.7197,-120.52418,Yes,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0023,VAFB #1,Closed,Disposal Only,Unpermitted,34.7197,-120.52418,No,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0024,VAFB #2,To be Determined,Disposal Only,Permitted,34.58333,-120.58333,Yes,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0060,VAFB #12,Closed,Disposal Only,Pre-regulation,34.58333,-120.58333,Yes,US Dept Of Air Force-Vandenberg Afb,6/10/1996, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0029,Vandenberg Air Force Base Landfill No.7 ,Closed,Disposal Only,Pre-regulation,34.58333,-120.58333,Yes,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0032,VAFB #10,Closed,Disposal Only,Pre-regulation,34.58333,-120.58333,Yes,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0033,VAFB #11,Closed,Disposal Only,Not Currently Regulated,34.7197,-120.52418,No,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
42-CR-0027,VAFB #5,Closed,Disposal Only,Not Currently Regulated,34.7197,-120.52418,No,US Dept Of Air Force-Vandenberg Afb,8/16/1994, Captain Black,,Captain Black,,,(734) 823-8232,30 Spw/Et,Vandenberg A F B,CA,93437,Santa Barbara
29-CR-0009,Lowell Hill Rd Refuse Site,Clean Closed,Disposal Only,Unpermitted,39.21667,-121.06667,Yes,You Bet Placer Company                  ,8/16/1994, ,,,,,,761 W Bullard Ave,Fresno,CA,93704,Nevada
44-AA-0006,Xanthus Property Exemption,Closed,Disposal Only,Exempt,36.95945,-121.85776,Yes,Granite Construction Co - Watsonville   ,3/10/1995,Chris Wolfe,Chris,Wolfe,Project Manager,,(831) 763-6100,PO Box 720,Watsonville,CA,95077,Santa Cruz
34-CR-5019,Folsom East Bidwell                     ,Clean Closed,Disposal Only,Pre-regulation,38.68333,-121.18333,Yes,Natomas Real Estate                     ,2/21/1997, ,,,,,(916) 635-6880,1211 Gold Country Road,Rancho Cordova,CA,95670,Sacramento
49-AA-0363,Kelly Gate Facility,Closed,Non-Disposal Only,Exempt,38.8,-123.01667,Yes,"Gate, Kelly                             ",10/13/1995,Obert Einevoll,Obert,Einevoll,Agent,,,27821 Dutch Creek Rd.,Cloverdale,CA,95403,Sonoma
07-AA-0048,Mt Diablo Paper Stock & Recycling Center,Closed,Non-Disposal Only,Not Currently Regulated,37.98333,-122.03333,Yes,"Contra Costa Waste Services, Inc.",5/23/1996, ,,,President/Owner,,(925) 689-8390,4080 Mallard Drive,Concord,CA,94520,Contra Costa
07-AA-0004,Pittsburg/Contra Costa Sanitary LF,To be Determined,Disposal Only,Unpermitted,37.98185,-121.80138,Yes,"Contra Costa Waste Services, Inc.",10/23/1995, ,,,President/Owner,,(925) 689-8390,4080 Mallard Drive,Concord,CA,94520,Contra Costa
07-AC-0043,Recycling Center & Transfer Station,Active,Non-Disposal Only,Permitted,38.01941,-121.85818,No,"Contra Costa Waste Services, Inc.",10/23/1995, ,,,President/Owner,,(925) 689-8390,4080 Mallard Drive,Concord,CA,94520,Contra Costa
07-CR-0041,Banks Pumping Plant Waste Fill,Closed,Disposal Only,Unpermitted,37.80301,-121.61453,No,Calif Dept Of Water Resources           ,4/22/1999, ,,,,,(916) 227-7567,3251 S St,Sacramento,CA,95816,Contra Costa
23-AA-0002,Albion Container Site,Active,Non-Disposal Only,Notification,39.21645,-123.71467,No,Solid Wastes Of Willits Inc,4/8/1996,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
23-AA-0004,Covelo Solid Waste Trans. & Recy. Center,Active,Non-Disposal Only,Notification,39.45082,-123.35028,No,Solid Wastes Of Willits Inc,4/8/1996,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
23-AA-0041,Westport Limited Volume Transfer Center,Active,Non-Disposal Only,Notification,39.64189,-123.78247,No,Solid Wastes Of Willits Inc,10/30/1998,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
23-AA-0043,South Coast Transfer Processing Facility,Active,Non-Disposal Only,Permitted,38.83389,-123.54389,No,Solid Wastes Of Willits Inc,4/29/2000,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
23-AA-0027,Willits Transfer Facility               ,Planned,Non-Disposal Only,Unpermitted,39.4,-123.35,Yes,Solid Wastes Of Willits Inc,4/8/1996,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
23-AA-0037,Laytonville Solid Waste Transfer & Re Ct,Active,Non-Disposal Only,Notification,39.67303,-123.50542,No,Solid Wastes Of Willits Inc,1/8/1997,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
23-AA-0001,Boonville Container Site,Active,Non-Disposal Only,Notification,39.00887,-123.39025,No,Solid Wastes Of Willits Inc,4/8/1996,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
23-AA-0028,Caspar Transfer Station,Active,Non-Disposal Only,Permitted,39.33945,-123.7802,No,Solid Wastes Of Willits Inc,4/8/1996,Gerald Ward,Gerald,Ward,Ceo,,(707) 459-4845,PO Box 1425 351 Franklin Ave,Willits,CA,95490,Mendocino
