SWIS Number ,Site Name,Activity,Activity Is Archived,OperationalStatus,RegulatoryStatus,Category,Activity Classification,WDRNo,WDR Landfill Class,Cease Operation,Cease Operation Type,Inspection Frequency,Throughput,ThroughputUnits,RemainingCapacity,Remaining Capacity Date,Capacity,CapacityUnits,Total Acreage,DisposalAcreage,Permitted Elevation,Permitted Elevation Type,Permitted Depth,Permitted Depth Type,Point of Contact,Site Operational Status,Site Regulatory Status,Site Is Archived,IsClosedIllegalAbandoned,IsSiteInertDebrisEngineeredFill,IsFinancialAssurancesResponsible,Absorbed On,Absorbed By,ClosedIllegalAbandonedCategory,EPA Federal Registry ID,Latitude,Longitude,Site ZIP Code,County,ARB District,SWRCB Region,Local Government,Street Address,City,State,ZIP Code,Reporting Agency Legal Name,Reporting Agency Department,Enforcing Agency Legal Name,Enforcing Agency Department
07-AA-0003,Contra Costa SLF (Pittsburg LF & GBF LF),Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,II,1/1/1992,Actual,Quarterly,150,Tons per day,,,,,60,0,,,,,"Frank Davies, Jr.",Closed,Permitted,No,Yes,No,Yes,,,B1,,37.9875,-121.84528,94509,Contra Costa,Bay Area,Central Valley,Antioch,James Donlon Bl 1/4mi E/O Somersville Rd,Antioch,CA,94509,County of Contra Costa,"Health Services Department,  Environmental Health Division",County of Contra Costa,"Health Services Department,  Environmental Health Division"
07-AA-0044,WCCSLF Organic Materials Processing,Composting Facility (Mixed),No,Active,Permitted,Composting,Solid Waste Facility,,,,,Monthly,1134,Tons per day,,,,Cubic Yards per Day,40,,,,,,Harprit Mattu,Active,Permitted,No,No,No,No,,,,,37.96971,-122.37896,94801,Contra Costa,Bay Area,San Francisco Bay,Richmond,Foot Of Parr Blvd.,Richmond,CA,94801,County of Contra Costa,"Health Services Department,  Environmental Health Division",County of Contra Costa,"Health Services Department,  Environmental Health Division"
07-AA-0044,WCCSLF Organic Materials Processing,Large Volume Transfer/Processing Facility,No,Planned,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,196,Tons per day,,,51000,Tons per year,40,,,,,,Harprit Mattu,Active,Permitted,No,No,No,No,,,,,37.96971,-122.37896,94801,Contra Costa,Bay Area,San Francisco Bay,Richmond,Foot Of Parr Blvd.,Richmond,CA,94801,County of Contra Costa,"Health Services Department,  Environmental Health Division",County of Contra Costa,"Health Services Department,  Environmental Health Division"
08-AA-0001,Gasquet Transfer Station,Limited Volume Transfer Operation,No,Active,Notification,Transfer/Processing,Solid Waste Operation,,,,,Quarterly,55,Cubic Yards per Day,,,1500,Cubic Yards per year,1,,,,,,Eric Kiruja,Active,Notification,No,No,No,No,,,,,41.8475,-123.95806,95543,Del Norte,North Coast Unified,North Coast,Del Norte County (Unincorporated),Old Gasquet Toll Road/CR 311,Gasquet,CA,95543,County of Del Norte,Community Development Department,County of Del Norte,Community Development Department
09-AA-0002,"South Tahoe Refuse Co.,Inc., T.S/MRF",Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,370,Tons per day,,,432,Tons per day,4,,,,,,John Loane,Active,Permitted,No,No,No,No,,,,,38.9179,-120.00202,96150,El Dorado,El Dorado,Lahontan,South Lake Tahoe,Ruth Ave Btwn Dunlap & Third Streets,South Lake Tahoe,CA,96150,County of El Dorado,"County Health Department,  See Placer Co. for LEA info.",County of Placer,"Department of Health & Human Services,  Environmental Health Services"
09-CR-0004,Coloma-Lotus #2,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1972,Actual,Annual,,,,,,,,,,,,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C1,,38.83976,-120.89558,95667,El Dorado,El Dorado,Central Valley,El Dorado County (Unincorporated),5980 Prospector Rd 2.1 Mi Fr Marshall Gr,Coloma,CA,95667,County of El Dorado,"County Health Department,  See Placer Co. for LEA info.",County of Placer,"Department of Health & Human Services,  Environmental Health Services"
09-CR-0015,Meyers LF,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1971,Actual,None,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,A2,,38.87491,-119.9865,96150,El Dorado,El Dorado,Lahontan,South Lake Tahoe,Pioneer Trail Opp Elks Club Dr,South Lake Tahoe,CA,96150,County of El Dorado,"County Health Department,  See Placer Co. for LEA info.",County of Placer,"Department of Health & Human Services,  Environmental Health Services"
09-CR-0022,Silver Lake #2,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,1/1/1972,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C3,,38.68347,-120.12385,95667,El Dorado,El Dorado,Central Valley,El Dorado County (Unincorporated),Sr88 2.1 Mi Fr Kit Carson Lodge Entry Rd,Kyburz,CA,95667,County of El Dorado,"County Health Department,  See Placer Co. for LEA info.",County of Placer,"Department of Health & Human Services,  Environmental Health Services"
10-AA-0011,Southeast Regional Solid Waste Disposal,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,II,9/1/1990,Actual,Quarterly,320,Tons per day,,,,,114,74,,,,,Bill Hereth,Closed,Permitted,No,Yes,No,Yes,,,C1,,36.5943,-119.5617,93662,Fresno,San Joaquin Valley Unified,Central Valley,Selma,12716 E Dinuba Ave,Selma,CA,93662,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0018,City of Reedley Landfill,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C3,,36.63464,-119.4521,93654,Fresno,San Joaquin Valley Unified,Central Valley,Reedley,W/O Frankwood Av S/O Livermore N/O Adams,Reedley,CA,93654,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0032,Laton Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C2,,36.4586,-119.70911,93242,Fresno,San Joaquin Valley Unified,Central Valley,Fresno County (Unincorporated),Clovis Ave & Blanchard Ave,Laton,CA,93242,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0043,Tranquility Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C2,,36.60251,-120.27917,93668,Fresno,San Joaquin Valley Unified,Central Valley,Fresno County (Unincorporated),Nr End Manning Av & James X Calaveras Av,Tranquillity,CA,93668,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0050,Balch Camp Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C2,,36.90305,-119.12305,99999,Fresno,San Joaquin Valley Unified,Central Valley,Fresno,Trimmer Springs Road,Fresno,CA,99999,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0057,Big Creek Municipal Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1972,Estimated,Annual,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,D,,37.23333,-119.23333,99999,Fresno,San Joaquin Valley Unified,Central Valley,Fresno County (Unincorporated),Easteood Ln & Huntington Lake Rd.,Huntington Lake,CA,99999,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0061,Nielson Ave Dumpsite,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,0,,0,,0,,0,0,0,,0,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C1,,36.74196,-119.84645,93706,Fresno,San Joaquin Valley Unified,Central Valley,Fresno,3075 W Nielsen Ave,Fresno,CA,93706,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
10-CR-0071,City of Kerman Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Quarterly,,,,,,,0,0,,,,,Abel Martinez-Centeno,Closed,Pre-regulation,No,Yes,No,No,,,C1,,36.70621,-120.09348,93630,Fresno,San Joaquin Valley Unified,Central Valley,Kerman,Jensen Ave  East of Lassen Ave.,Kerman,CA,93630,County of Fresno,"Department of Public Health,  Environmental Health Division",County of Fresno,"Department of Public Health,  Environmental Health Division"
11-CR-0003,Orland City Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1972,Estimated,Semi-annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C3,,39.78333,-122.23833,95963,Glenn,Glenn,Central Valley,Orland,"E/Side Co Rd E, 1/2 Mi N/O Co Rd 8",Orland,CA,95963,County of Glenn,Dept of  Environmental Health,County of Glenn,Dept of  Environmental Health
11-CR-0010,Alder Hotel Site                        ,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/31/1939,Actual,Annual,0,,0,,0,,0,0,0,,0,,Sabra Ambrose,Closed,Pre-regulation,No,Yes,No,No,,,C1,,39.65667,-122.71944,47,Glenn,Glenn,Central Valley,Glenn County (Unincorporated),Mend Nat'l For S Side Rd 21n30,Alder Springs,CA,47,County of Glenn,Dept of  Environmental Health,County of Glenn,Dept of  Environmental Health
12-AA-0008,Fruitland Container Site,Limited Volume Transfer Operation,No,Active,Notification,Transfer/Processing,Solid Waste Operation,,,,,Quarterly,1,Tons per day,,,85,Tons per year,,,,,,,Eric Kiruja,Active,Notification,No,No,No,No,,,,,40.28286,-123.79292,95554,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),Dyerville Loop Rd; 10 Mi Ne Myers Flat,Myers Flat,CA,95554,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-AA-0017,Samoa Landfill Site,Wood Waste Disposal Site,No,Closed,Permitted,Disposal,Solid Waste Facility,,III,12/31/1998,Estimated,Annual,50,Cubic Yards per Day,,,,,6,0,,,,,Angela Gomez,Closed,Permitted,No,Yes,No,No,,,D,,40.80583,-124.19833,95564,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),1/2 Mi S Of Louisiana-Pac Dr & Navy Rd,Samoa,CA,95564,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-AA-0086,Mozzetti II Woodwaste,Wood Waste Disposal Site,No,Inactive,Permitted,Disposal,Solid Waste Facility,,III,,,Quarterly,100,Tons per day,,,71800,Cubic Yards,12,4,,,,,Eric Kiruja,Inactive,Permitted,No,Yes,No,No,,,D,1.10014E+11,40.51842,-124.10863,95562,Humboldt,North Coast Unified,North Coast,Rio Dell,1 Mi N Rio Dell,Rio Dell,CA,95562,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-CR-0007,Garberville Burn Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,7/1/1976,Estimated,Annual,,,,,,,,,,,,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C1,,40.10439,-123.78669,95542,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),0.2 Mi Up Alderpoint Rd Rh Side @ Arthur,Garberville,CA,95542,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-CR-0015,Orleans Burn Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,0,0,,,,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C3,,41.32323,-123.52623,95556,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),Ishi-Pishi Road,Orleans,CA,95556,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-CR-0022,Blocksburg Burn Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,0,0,,,,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C2,,40.27348,-123.62988,95514,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),0.5 Mi South Of Blocksburg,Blocksburg,CA,95514,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-CR-0040,Fortuna Burn Dump,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,12/1/1971,Estimated,Quarterly,,,,,,,2,0,,,11,BGL,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,A1,,40.56774,-124.11289,95501,Humboldt,North Coast Unified,North Coast,Fortuna,4498 Mill St,Fortuna,CA,95540,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
12-CR-0047,Redwood Valley Disposal Site,Solid Waste Disposal Site          ,No,Closed,Pre-regulations,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,,,,,,,Angela Gomez,Closed,Pre-regulation,No,Yes,No,No,,,C2,,41.02352,-123.87384,95470,Humboldt,North Coast Unified,North Coast,Humboldt County (Unincorporated),Stover Rd Nr Redwood Valley Cont Site,Redwood Valley,CA,95470,County of Humboldt,"Department of Health and Human Services,  Environmental Health Division",County of Humboldt,"Department of Health and Human Services,  Environmental Health Division"
13-AA-0010,Hot Spa Solid Waste Site,Solid Waste Landfill,No,Inactive,Permitted,Disposal,Solid Waste Facility,,III,7/29/2018,Estimated,Monthly,10,Tons per day,55767,2/11/2016,233150,Cubic Yards,40,6.4,,,,,Gina Weber,Inactive,Permitted,No,No,No,Yes,,,,1.10013E+11,33.41528,-115.67611,92257,Imperial,Imperial,Colorado River,Imperial County (Unincorporated),10466 Spa Road,Niland,CA,92257,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
13-AA-0020,Cruickshank Road - City Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1987,Estimated,None,,,,,,,0,0,,,,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,D,,32.81935,-115.51023,92243,Imperial,Imperial,Colorado River,El Centro,Cruickshank Rd X Hwy 111 Nw Of El Centro,El Centro,CA,92243,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
13-AA-0075,Ross Road & Sprr Disposal Site,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,12/31/1991,Estimated,Biennial,,,,,,,0,0,,,,,Angela Gomez,Closed,Unpermitted,No,Yes,No,No,,,D,,32.77905,-115.5455,92243,Imperial,Imperial,Colorado River,El Centro,Ross Rd Next To Valley Stockyards,El Centro,CA,92243,County of Imperial,"Public Health Department,  Environmental Health Services",County of Imperial,"Public Health Department,  Environmental Health Services"
14-AA-0004,Independence Landfill,Solid Waste Landfill,No,Active,Permitted,Disposal,Solid Waste Facility,,III,12/31/2068,Estimated,Monthly,10,Tons per day,126513,6/23/2001,317900,Cubic Yards,90,18,3930,MSL,3860,MSL,Margaret Comotto,Active,Permitted,No,No,No,Yes,,,,1.10018E+11,36.7884,-118.17586,93526,Inyo,Great Basin Unified,Lahontan,Inyo County (Unincorporated),End 0f Dump Road,Independence,CA,93526,County of Inyo,Department of Envir. Health Services,County of Inyo,Department of Envir. Health Services
14-AA-0020,Deep Springs College Disposal Site,Solid Waste Disposal Site          ,No,Closed,Exempt,Disposal,Solid Waste Disposal Site,,,7/1/1992,Estimated,None,,,,,,,0,1,,,,,Dawn Liang,Closed,Exempt,No,Yes,No,No,,,C3,,37.36404,-117.98711,89010,Inyo,Great Basin Unified,Lahontan,Inyo County (Unincorporated),Off Hwy 168 Due East Of Big Pine,Deep Springs,CA,89010,County of Inyo,Department of Envir. Health Services,County of Inyo,Department of Envir. Health Services
14-CR-0001,Caltrans Olancha,Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,0,0,,,,,Dawn Liang,Closed,Unpermitted,No,Yes,No,No,,,C3,,36.2631,-118.00411,93549,Inyo,Great Basin Unified,Lahontan,Inyo County (Unincorporated),"End Of Shop St, West Of Town",Olancha,CA,93549,County of Inyo,Department of Envir. Health Services,County of Inyo,Department of Envir. Health Services
14-CR-0008,Inyo County Tecopa (Old),Solid Waste Disposal Site          ,No,Closed,Unpermitted,Disposal,Solid Waste Disposal Site,,,,,Annual,,,,,,,0,0,,,,,Dawn Liang,Closed,Unpermitted,No,Yes,No,No,,,C3,,35.84652,-116.22487,92389,Inyo,Great Basin Unified,Lahontan,Inyo County (Unincorporated),1/2 Mile South Of Tecopa Trading Post,Tecopa,CA,92389,County of Inyo,Department of Envir. Health Services,County of Inyo,Department of Envir. Health Services
15-AA-0049,Randsburg Transfer Station,Limited Volume Transfer Operation,No,Active,Notification,Transfer/Processing,Solid Waste Operation,,,,,Quarterly,15,Cubic Yards per Day,,,5475,Cubic Yards per year,2,,,,,,Christine Karl,Active,Notification,No,No,No,No,,,,,35.37838,-117.6585,93554,Kern,Kern,Lahontan,Kern County (Unincorporated),Goler Rd 1/4 Mile North Of Randsburg Rd,Randsburg,CA,93554,County of Kern,Environmental Health Division,County of Kern,Environmental Health Division
15-AA-0056,Lebec Sanitary Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,II,9/1/2001,Actual,Annual,,Tons per day,,,,,40,0,,,,,Peter Jan,Closed,Permitted,No,Yes,No,Yes,,,C2,,34.82697,-118.88773,93243,Kern,San Joaquin Valley Unified,Central Valley,Kern County (Unincorporated),300 Landfill Road,Lebec,CA,93243,County of Kern,Environmental Health Division,County of Kern,Environmental Health Division
15-AA-0063,McFarland-Delano Sanitary Landfill,Solid Waste Disposal Site          ,No,Closed,Permitted,Disposal,Solid Waste Disposal Site,,II,8/1/1996,Actual,Quarterly,81,Tons per day,,,,,40,40,,,,,Peter Jan,Closed,Permitted,No,Yes,No,Yes,,,C2,,35.7463,-119.25996,93215,Kern,San Joaquin Valley Unified,Central Valley,Delano,11298 Stradley Ave,Delano,CA,93215,County of Kern,Environmental Health Division,County of Kern,Environmental Health Division
15-AA-0106,"Tehachapi Recycling, Inc",Large Volume Transfer/Processing Facility,No,Active,Permitted,Transfer/Processing,Solid Waste Facility,,,,,Monthly,850,Tons per day,,,,,17.2,,,,,,Christine Karl,Active,Permitted,No,No,No,No,,,,,35.13618,-118.43172,93561,Kern,Kern,Central Valley,Tehachapi,416 North Dennison Road,Tehachapi,CA,93561,County of Kern,Environmental Health Division,County of Kern,Environmental Health Division
